WORD                          COUNT 
benjamin                          1 
bent                              6 
benvenuto                         1 
bequest                           1 
berries                           2 
berth                             2 
bes                               2 
besides                          17 
bessie                            1 
best                             42 
bet                              32 
betray                            2 
betsy                             2 
better                           96 
between                          19 
betwixt                           9 
bewitched                         1 
beyond                            1 
bible                             6 
bid                               1 
bidder                            1 
big                              95 
bigger                            6 
biggest                           3 
bile                              2 
biler                             2 
bilge                             1 
bilgewater                       10 
bilin                             1 
biling                            4 
bilji                             1 
bill                             25 
billion                           1 
bills                             8 
binary                            1 
biography                         1 
bird                              3 
birds                             8 
birnam                            1 
birth                             3 
birthday                          1 
biscuits                          2 
bit                              30 
bite                              7 
bites                             1 
biting                            1 
bits                              1 
bitter                            2 
bitterer                          1 
bitters                           1 
bitts                             1 
black                            33 
blackberries                      1 
blacker                           1 
blackest                          2 
blackguarding                     1 
blade                             1 
blame                            39 
blamed                           13 
blaming                           2 
blammin                           1 
blank                             2 
blanket                          11 
blankets                          6 
blast                             2 
blattered                         1 
blazed                            2 
blazing                           4 
bleed                             1 
bleeding                          1 
bless                             8 
blessed                           3 
blessedest                        1 
blessing                          5 
blest                             4 
blethers                          1 
blim                              1 
blind                             4 
blinders                          1 
blindfold                         1 
blinked                           1 
blister                           1 
blistered                         2 
blithesome                        1 
block                             1 
blodgett                          3 
blood                             9 
blooded                           1 
bloom                             1 
blossom                           1 
blotted                           1 
blow                             20 
blowed                            7 
blowing                           6 
blows                             2 
blubber                           1 
blubbering                        4 
blubbers                          1 
blue                             16 
bluejay                           1 
bluest                            1 
bluff                             3 
bluffs                            2 
bly                               1 
bo                                1 
board                             7 
boarding                          2 
boards                            5 
boat                             45 
boats                             4 
bob                              10 
bobbing                           3 
bodies                            1 
bodkin                            1 
body                             60 
bofe                              1 
boggs                            16 
bogus                             1 
boils                             1 
bolt                              2 
bolted                            1 
bolthead                          1 
bondage                           2 
bone                              2 
bones                             1 
bonnet                            5 
bonnets                           1 
boo                               1 
book                             35 
books                            16 
boom                              7 
boomed                            2 
booming                           9 
boot                              4 
booth                             2 
boots                             7 
border                            1 
bored                             1 
born                             17 
borrow                           13 
